swab_id,gd,swab_type,state,date,season,species,yoa,pdate,y,month,Ldate,c,ysw,newsite,pdate2
JH15MI0109,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0108,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0106,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0135,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0133,0,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0111,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0112,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0131,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH14MI088,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH15MI0124,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH15MI0104,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH14MI108,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH15MI0115,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH14MI107,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI091,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI105,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI106,1,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH15MI0102,1,BAT,MI,2/25/15,hiber_late,MYLU,2015,14.80645161,15,2,2/25/15,1,0,MI_BC,3.64516129
JH14MI098,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI085,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI100,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI093,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI097,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI083,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH14MI096,0,BAT,MI,11/29/14,hiber_earl,MYLU,2015,11.93548387,14,11,11/29/14,1,0,MI_BC,0.774193548
JH15MI0058,1,BAT,MI,2/24/15,hiber_late,MYLU,2015,14.77419355,15,2,2/24/15,1,0,MI_GA,3.612903226
JH14MI046,0,BAT,MI,11/28/14,hiber_earl,MYLU,2015,11.90322581,14,11,11/28/14,1,0,MI_GA,0.741935484
JH14MI044,0,BAT,MI,11/28/14,hiber_earl,MYLU,2015,11.90322581,14,11,11/28/14,1,0,MI_GA,0.741935484
JH15MI0057,1,BAT,MI,2/24/15,hiber_late,MYLU,2015,14.77419355,15,2,2/24/15,1,0,MI_GA,3.612903226
JH15MI0059,1,BAT,MI,2/24/15,hiber_late,MYLU,2015,14.77419355,15,2,2/24/15,1,0,MI_GA,3.612903226
JH14MI051,0,BAT,MI,11/28/14,hiber_earl,MYLU,2015,11.90322581,14,11,11/28/14,1,0,MI_GA,0.741935484
JH14MI052,0,BAT,MI,11/28/14,hiber_earl,MYLU,2015,11.90322581,14,11,11/28/14,1,0,MI_GA,0.741935484
JH15MI0052,1,BAT,MI,2/24/15,hiber_late,MYLU,2015,14.77419355,15,2,2/24/15,1,0,MI_GA,3.612903226
JH15MI0055,1,BAT,MI,2/24/15,hiber_late,MYLU,2015,14.77419355,15,2,2/24/15,1,0,MI_GA,3.612903226
JH14MI041,0,BAT,MI,11/28/14,hiber_earl,MYLU,2015,11.90322581,14,11,11/28/14,1,0,MI_GA,0.741935484
JH15MI0060,1,BAT,MI,2/24/15,hiber_late,MYLU,2015,14.77419355,15,2,2/24/15,1,0,MI_GA,3.612903226
